                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38243,                 3.3202,                0.88392,                 0.2796,                0.66996,                0.40032,                0.34166,                0.69833,                 2.9392,                 1.0505,             0.00047309,             0.00047309,             0.00047309
                      2,                0.44872,                 2.5685,                 0.8972,                0.33385,                0.87488,                0.42022,                0.36328,                0.52512,                 2.2846,                 0.9083,             0.00093376,             0.00093376,             0.00093376
                      3,                0.47647,                 2.0458,                0.90774,                0.32577,                0.71844,                0.37015,                0.31924,                0.68762,                  2.072,                 1.0375,              0.0013787,              0.0013787,              0.0013787
                      4,                0.44946,                   1.68,                0.89142,                 0.3435,                0.95903,                0.43928,                0.38936,                0.45573,                 1.2976,                0.87421,              0.0013583,              0.0013583,              0.0013583
                      5,                0.37507,                 1.4607,                0.84994,                0.33267,                0.99556,                0.36203,                 0.3397,                0.34757,                 1.1651,                0.83024,              0.0013347,              0.0013347,              0.0013347
                      6,                0.37332,                 1.3463,                0.85088,                0.32887,                0.99253,                0.47618,                0.45522,                0.34105,                 1.1624,                0.83811,              0.0013111,              0.0013111,              0.0013111
                      7,                0.34421,                 1.2705,                0.84051,                0.32199,                0.98519,                0.36168,                0.33264,                0.39847,                 1.1826,                0.91159,              0.0012875,              0.0012875,              0.0012875
                      8,                0.30944,                 1.2179,                0.82392,                0.33307,                      1,                0.37494,                0.36321,                0.27473,                 1.0887,                 0.8073,               0.001264,               0.001264,               0.001264
                      9,                0.29592,                 1.1887,                0.82009,                0.33336,                0.99865,                0.37285,                0.36504,                 0.2656,                 1.0869,                0.80368,              0.0012404,              0.0012404,              0.0012404
                     10,                0.29589,                 1.1736,                0.81632,                 0.3322,                      1,                0.37112,                  0.356,                0.30595,                 1.0864,                0.81629,              0.0012168,              0.0012168,              0.0012168
                     11,                0.28618,                 1.1563,                0.81688,                0.33293,                      1,                0.38351,                0.36795,                0.30228,                 1.0734,                0.81875,              0.0011932,              0.0011932,              0.0011932
                     12,                0.27384,                 1.1406,                0.81498,                0.33313,                      1,                0.40777,                0.40194,                0.23471,                 1.0656,                0.79829,              0.0011696,              0.0011696,              0.0011696
                     13,                0.25803,                 1.1247,                0.80626,                0.33298,                      1,                 0.3951,                0.38481,                0.24212,                 1.0678,                0.80015,              0.0011461,              0.0011461,              0.0011461
                     14,                0.24919,                  1.117,                0.80495,                0.33293,                      1,                0.39786,                 0.3903,                0.23877,                 1.0518,                0.80209,              0.0011225,              0.0011225,              0.0011225
                     15,                0.25638,                 1.1178,                0.80381,                0.33295,                      1,                0.36799,                0.35989,                0.26048,                 1.0478,                0.79937,              0.0010989,              0.0010989,              0.0010989
                     16,                0.25787,                 1.0986,                 0.8049,                0.33303,                      1,                 0.4005,                0.38919,                0.25317,                 1.0512,                0.79938,              0.0010753,              0.0010753,              0.0010753
                     17,                 0.2444,                 1.0964,                0.80006,                0.33254,                      1,                0.38565,                0.37672,                0.25957,                 1.0542,                 0.8065,              0.0010517,              0.0010517,              0.0010517
                     18,                0.23632,                 1.0925,                0.80009,                0.33301,                      1,                  0.382,                  0.374,                0.24141,                 1.0482,                0.80341,              0.0010282,              0.0010282,              0.0010282
                     19,                0.24358,                  1.088,                0.80266,                0.33302,                      1,                0.38241,                0.37607,                 0.2203,                 1.0349,                0.79636,              0.0010046,              0.0010046,              0.0010046
                     20,                0.22185,                 1.0753,                0.79134,                0.33309,                      1,                0.38328,                0.37761,                0.22571,                 1.0327,                0.79387,             0.00098101,             0.00098101,             0.00098101
                     21,                0.23051,                 1.0719,                0.79484,                0.33308,                      1,                 0.3754,                0.37049,                0.22954,                  1.031,                0.79651,             0.00095743,             0.00095743,             0.00095743
                     22,                0.21985,                 1.0687,                0.79128,                0.33297,                      1,                0.35429,                 0.3492,                0.22221,                 1.0291,                0.79374,             0.00093385,             0.00093385,             0.00093385
                     23,                0.21969,                 1.0686,                0.79764,                0.33329,                0.99968,                0.35937,                0.35263,                0.22996,                 1.0312,                0.79584,             0.00091027,             0.00091027,             0.00091027
                     24,                0.22197,                 1.0642,                0.79035,                0.33308,                      1,                0.35458,                0.34834,                0.23113,                 1.0334,                0.79417,             0.00088669,             0.00088669,             0.00088669
                     25,                0.21833,                  1.066,                0.79406,                0.33305,                      1,                0.35546,                0.34849,                 0.2163,                 1.0365,                 0.7941,             0.00086312,             0.00086312,             0.00086312
                     26,                0.22032,                 1.0679,                0.78717,                0.33299,                      1,                0.36584,                 0.3609,                0.22642,                 1.0241,                  0.793,             0.00083954,             0.00083954,             0.00083954
                     27,                0.21196,                 1.0578,                0.79096,                0.33296,                      1,                0.37564,                0.36975,                0.21954,                 1.0227,                 0.7908,             0.00081596,             0.00081596,             0.00081596
                     28,                0.20961,                 1.0518,                0.79322,                0.33304,                      1,                0.36503,                0.36145,                0.22235,                 1.0261,                0.79308,             0.00079238,             0.00079238,             0.00079238
                     29,                0.20784,                 1.0555,                0.78569,                0.33319,                      1,                0.34651,                0.34114,                0.22563,                 1.0209,                0.79155,              0.0007688,              0.0007688,              0.0007688
                     30,                 0.2104,                 1.0502,                0.78657,                0.33304,                      1,                0.37286,                0.36689,                0.22489,                 1.0312,                0.79479,             0.00074522,             0.00074522,             0.00074522
                     31,                0.20683,                 1.0507,                0.78695,                0.33304,                      1,                0.38867,                0.38318,                0.21991,                 1.0187,                0.79294,             0.00072164,             0.00072164,             0.00072164
                     32,                0.18884,                 1.0376,                0.78259,                0.33295,                      1,                0.38933,                0.38599,                0.21355,                 1.0202,                  0.792,             0.00069807,             0.00069807,             0.00069807
                     33,                0.18571,                 1.0375,                0.78828,                0.33306,                      1,                0.35833,                0.35277,                0.20679,                 1.0181,                0.78884,             0.00067449,             0.00067449,             0.00067449
                     34,                0.18003,                 1.0364,                 0.7816,                 0.3329,                      1,                0.39015,                0.38529,                0.19747,                 1.0169,                0.78941,             0.00065091,             0.00065091,             0.00065091
                     35,                0.18046,                 1.0373,                0.78552,                0.33301,                      1,                0.37862,                0.37232,                0.21389,                 1.0169,                0.79059,             0.00062733,             0.00062733,             0.00062733
                     36,                 0.1824,                 1.0346,                0.78737,                0.33305,                      1,                0.36441,                 0.3584,                0.20406,                 1.0156,                0.78972,             0.00060375,             0.00060375,             0.00060375
                     37,                0.17495,                 1.0205,                0.78136,                0.33316,                      1,                0.39178,                0.38661,                 0.2093,                 1.0162,                0.79012,             0.00058017,             0.00058017,             0.00058017
                     38,                 0.1742,                 1.0242,                0.78023,                0.33294,                      1,                0.42371,                0.41657,                0.20842,                 1.0111,                 0.7914,              0.0005566,              0.0005566,              0.0005566
                     39,                0.17668,                 1.0199,                0.78497,                0.33375,                      1,                0.41931,                0.41099,                0.22008,                 1.0275,                0.79531,             0.00053302,             0.00053302,             0.00053302
                     40,                0.17859,                 1.0002,                0.78284,                0.38743,                0.95957,                0.54438,                0.53615,                0.21876,                 1.0034,                0.79336,             0.00050944,             0.00050944,             0.00050944
                     41,                0.18346,                0.98059,                0.78409,                 0.3286,                0.99661,                0.49343,                0.47917,                 0.2746,                 1.0596,                0.82057,             0.00048586,             0.00048586,             0.00048586
                     42,                0.18972,                0.97012,                 0.7839,                0.44324,                0.99061,                0.65717,                 0.6511,                0.21845,                0.88125,                0.79077,             0.00046228,             0.00046228,             0.00046228
                     43,                0.19587,                0.97419,                0.79144,                0.45599,                 0.9772,                0.60365,                0.58973,                0.26007,                 1.0414,                0.81558,              0.0004387,              0.0004387,              0.0004387
                     44,                0.17952,                0.87784,                0.78239,                0.45597,                0.95556,                0.67159,                0.65776,                0.24411,                 1.1162,                0.80713,             0.00041512,             0.00041512,             0.00041512
                     45,                0.17949,                0.83723,                0.78442,                0.52476,                0.98929,                0.75404,                 0.7349,                 0.2587,                 0.7335,                 0.8111,             0.00039155,             0.00039155,             0.00039155
                     46,                0.17535,                0.74138,                 0.7883,                0.61261,                      1,                0.88477,                0.86473,                0.23245,                 0.6895,                0.80609,             0.00036797,             0.00036797,             0.00036797
                     47,                0.18829,                0.67908,                0.77941,                0.74679,                0.95896,                0.91964,                0.90994,                0.21627,                0.59808,                0.79536,             0.00034439,             0.00034439,             0.00034439
                     48,                0.17861,                0.63662,                 0.7803,                0.69141,                0.94222,                 0.8919,                0.87489,                0.21472,                0.57599,                0.79625,             0.00032081,             0.00032081,             0.00032081
                     49,                0.18341,                0.64992,                 0.7858,                0.80595,                0.90384,                0.94774,                0.92864,                0.24518,                0.59088,                0.80628,             0.00029723,             0.00029723,             0.00029723
                     50,                0.18163,                0.50233,                 0.7813,                0.85932,                0.97638,                0.99427,                0.98179,                0.22786,                0.44524,                0.79498,             0.00027365,             0.00027365,             0.00027365
                     51,                 0.1794,                0.40933,                 0.7874,                0.95105,                0.98688,                0.99381,                0.97711,                0.23728,                 0.3768,                0.79692,             0.00025007,             0.00025007,             0.00025007
                     52,                0.17338,                0.40909,                0.78419,                0.98688,                0.96048,                0.99465,                0.98499,                0.22083,                 0.3631,                0.79232,              0.0002265,              0.0002265,              0.0002265
                     53,                0.16986,                0.31696,                0.77924,                0.99436,                0.98681,                  0.995,                0.98269,                0.22736,                0.30036,                0.79632,             0.00020292,             0.00020292,             0.00020292
                     54,                0.16777,                0.33932,                0.78113,                0.97721,                0.98198,                0.99457,                0.98502,                 0.2019,                0.26106,                0.79102,             0.00017934,             0.00017934,             0.00017934
                     55,                0.16704,                0.32875,                0.78266,                0.97066,                 0.9941,                0.99399,                 0.9848,                0.20384,                0.27526,                0.79091,             0.00015576,             0.00015576,             0.00015576
                     56,                 0.1611,                0.24941,                0.77649,                0.95378,                 0.9918,                  0.995,                0.98381,                0.20926,                0.25821,                 0.7939,             0.00013218,             0.00013218,             0.00013218
                     57,                0.15312,                0.19198,                0.77624,                0.99334,                 0.9987,                  0.995,                0.98582,                0.19757,                0.20908,                0.79202,              0.0001086,              0.0001086,              0.0001086
                     58,                0.14817,                 0.1812,                0.76982,                0.99743,                      1,                  0.995,                0.98484,                  0.194,                0.20863,                0.79021,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     59,                0.14607,                0.16323,                0.77593,                0.97659,                 0.9927,                0.99491,                0.98594,                0.19582,                0.22407,                0.79126,             6.1447e-05,             6.1447e-05,             6.1447e-05
                     60,                0.14598,                 0.1541,                0.77562,                0.97499,                0.97104,                0.99491,                0.98552,                0.20044,                0.23799,                 0.7925,             3.7869e-05,             3.7869e-05,             3.7869e-05
