                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43869,                 1.9577,                0.91126,                0.99526,                0.99641,                  0.995,                0.92744,                0.34946,                0.70885,                0.81342,             0.00047451,             0.00047451,             0.00047451
                      2,                0.42798,                0.88864,                0.89509,                0.91143,                0.88374,                0.98004,                0.90537,                0.36831,                0.65653,                0.82647,             0.00093201,             0.00093201,             0.00093201
                      3,                0.41925,                0.58921,                0.89178,                0.99389,                0.99639,                0.99499,                0.93378,                0.31935,                0.27586,                0.80713,              0.0013707,              0.0013707,              0.0013707
                      4,                0.40371,                0.47311,                0.89231,                0.89089,                0.95782,                0.99115,                0.94772,                0.30459,                0.30124,                0.80171,              0.0013441,              0.0013441,              0.0013441
                      5,                0.38497,                0.41497,                0.88002,                0.99663,                0.99595,                0.99499,                0.94323,                0.31776,                0.24832,                0.80548,              0.0013158,              0.0013158,              0.0013158
                      6,                0.36514,                0.38755,                0.87142,                0.99443,                0.99124,                0.99473,                 0.9583,                0.27346,                0.20901,                0.79165,              0.0012875,              0.0012875,              0.0012875
                      7,                0.36111,                 0.3628,                0.87348,                0.98479,                0.99238,                0.99201,                0.91775,                0.38562,                0.31047,                0.88674,              0.0012592,              0.0012592,              0.0012592
                      8,                0.34591,                0.35254,                0.86611,                 0.9868,                0.98679,                0.99472,                 0.9605,                0.27581,                0.19032,                0.79544,              0.0012309,              0.0012309,              0.0012309
                      9,                0.34162,                 0.3503,                0.86543,                0.99646,                0.99819,                0.99498,                0.95557,                0.28928,                0.19969,                 0.8079,              0.0012026,              0.0012026,              0.0012026
                     10,                0.33111,                0.31843,                0.86119,                0.99951,                      1,                  0.995,                0.95739,                0.26159,                0.19961,                0.80061,              0.0011744,              0.0011744,              0.0011744
                     11,                0.31734,                0.31779,                0.85828,                0.99766,                0.99761,                0.99486,                0.97072,                0.26216,                0.17666,                0.79646,              0.0011461,              0.0011461,              0.0011461
                     12,                0.32277,                0.31113,                0.85982,                0.99911,                0.99858,                  0.995,                0.96994,                0.25063,                0.17196,                0.78722,              0.0011178,              0.0011178,              0.0011178
                     13,                0.31423,                0.30323,                0.85537,                0.99967,                      1,                  0.995,                0.97207,                0.23735,                0.16694,                0.78349,              0.0010895,              0.0010895,              0.0010895
                     14,                0.31524,                0.29881,                0.85598,                0.99834,                      1,                0.99465,                0.97185,                0.23263,                 0.1641,                0.78409,              0.0010612,              0.0010612,              0.0010612
                     15,                0.30515,                0.29005,                0.85499,                 0.9997,                0.99862,                  0.995,                0.97219,                0.23685,                0.15957,                0.78275,              0.0010329,              0.0010329,              0.0010329
                     16,                0.30266,                0.28372,                 0.8557,                0.99954,                      1,                  0.995,                0.97038,                0.23759,                0.16854,                0.78747,              0.0010046,              0.0010046,              0.0010046
                     17,                0.29137,                0.27365,                0.84917,                0.99963,                      1,                  0.995,                0.97908,                0.21924,                   0.15,                0.77894,             0.00097629,             0.00097629,             0.00097629
                     18,                0.29592,                0.27709,                0.85384,                0.99958,                      1,                  0.995,                0.97374,                0.21851,                0.15226,                0.78123,               0.000948,               0.000948,               0.000948
                     19,                0.29443,                0.27616,                0.85143,                 0.9997,                      1,                  0.995,                0.97693,                0.23488,                0.14839,                0.78551,              0.0009197,              0.0009197,              0.0009197
                     20,                0.27861,                0.26808,                0.84758,                0.99851,                0.99848,                  0.995,                0.97415,                0.23381,                0.15696,                0.78788,             0.00089141,             0.00089141,             0.00089141
                     21,                0.28548,                0.27277,                0.85234,                0.99974,                      1,                  0.995,                0.97513,                0.22662,                0.15074,                0.78358,             0.00086312,             0.00086312,             0.00086312
                     22,                0.28198,                0.26088,                0.84929,                0.99972,                      1,                  0.995,                 0.9756,                0.22234,                0.14806,                0.78084,             0.00083482,             0.00083482,             0.00083482
                     23,                0.27878,                0.26075,                0.84818,                0.99972,                      1,                  0.995,                0.97306,                 0.2246,                0.15284,                0.78279,             0.00080653,             0.00080653,             0.00080653
                     24,                0.27664,                0.26064,                0.84798,                0.99964,                      1,                  0.995,                0.97539,                0.22563,                0.14289,                0.78085,             0.00077823,             0.00077823,             0.00077823
