                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75903,                 3.1125,                 1.3427,                0.75403,                0.19935,                 0.0863,                0.07475,                 1.0837,                 3.5587,                 1.9096,             0.00046812,             0.00046812,             0.00046812
                      2,                0.85519,                 2.1241,                 1.3969,                0.33512,                0.35897,                0.00341,                0.00184,                 2.1998,                    inf,                 5.4317,              0.0009351,              0.0009351,              0.0009351
                      3,                  1.078,                 2.4958,                 1.5912,                0.77058,                0.21242,                0.13534,                0.04965,                 2.9277,                 10.713,                 4.2839,              0.0013927,              0.0013927,              0.0013927
                      4,                 1.1589,                 2.3495,                 1.7066,                0.10705,                0.12745,                0.07532,                0.05541,                 2.0291,                 5.1376,                 3.1665,              0.0013866,              0.0013866,              0.0013866
                      5,                  1.079,                 2.1483,                 1.6236,                0.46408,                0.18138,                0.17368,                0.11372,                 2.1268,                 10.126,                  3.741,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.055,                 1.9899,                 1.5888,                0.64657,                0.25463,                0.37953,                0.25364,                 1.5401,                 2.4913,                 2.3444,              0.0013583,              0.0013583,              0.0013583
                      7,                0.99372,                 1.8507,                 1.4986,                0.63358,                 0.2427,                0.32406,                 0.2434,                 1.8477,                 2.9352,                 3.0355,              0.0013441,              0.0013441,              0.0013441
                      8,                0.89795,                 1.7585,                 1.4401,                 0.6075,                0.37495,                0.33194,                0.25252,                  1.525,                 3.1664,                 3.0138,                0.00133,                0.00133,                0.00133
                      9,                0.89339,                 1.6254,                 1.4139,                0.64632,                0.44967,                 0.3993,                0.34442,                 1.3702,                 2.9541,                 2.5162,              0.0013158,              0.0013158,              0.0013158
                     10,                0.80226,                 1.5684,                 1.3199,                 0.6456,                0.51983,                0.42145,                0.30866,                 1.3567,                 1.7985,                 2.1576,              0.0013017,              0.0013017,              0.0013017
