                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37532,                 3.1115,                0.87536,                0.30419,                0.79574,                0.38095,                0.32098,                 0.5236,                  2.111,                0.88668,             0.00047451,             0.00047451,             0.00047451
                      2,                0.40952,                 2.1347,                0.87984,                0.33845,                0.83533,                0.34806,                0.28207,                 0.6226,                 2.3043,                 0.9826,             0.00093907,             0.00093907,             0.00093907
                      3,                0.41921,                 1.6228,                  0.887,                0.32646,                0.93243,                0.36017,                  0.303,                0.54036,                 1.3215,                0.89503,              0.0013919,              0.0013919,              0.0013919
                      4,                0.41558,                 1.4415,                0.87668,                0.33258,                0.97707,                0.38087,                 0.3375,                0.45357,                  1.237,                0.86669,              0.0013759,              0.0013759,              0.0013759
                      5,                0.36997,                 1.3077,                0.85761,                0.32985,                 0.9626,                0.36072,                0.32022,                0.46619,                 1.2419,                 0.8607,              0.0013583,              0.0013583,              0.0013583
                      6,                0.33464,                 1.2411,                0.83946,                0.33391,                0.91749,                0.36828,                0.31735,                0.53522,                  1.301,                0.90293,              0.0013406,              0.0013406,              0.0013406
                      7,                0.30917,                 1.1918,                0.82742,                0.33224,                0.99704,                0.36874,                0.32343,                0.49977,                 1.1186,                0.90497,              0.0013229,              0.0013229,              0.0013229
                      8,                0.29204,                 1.1639,                0.81822,                0.31501,                0.78128,                0.35273,                0.28838,                0.69468,                 1.4519,                0.98726,              0.0013052,              0.0013052,              0.0013052
                      9,                0.29037,                 1.1459,                0.82368,                0.33871,                0.97076,                0.40649,                0.37855,                0.37495,                 1.0843,                0.81821,              0.0012875,              0.0012875,              0.0012875
                     10,                0.27379,                 1.1319,                0.81398,                0.33344,                 0.9948,                0.35511,                 0.3239,                0.39122,                 1.0773,                0.82781,              0.0012698,              0.0012698,              0.0012698
                     11,                0.26802,                 1.1221,                0.81145,                0.33324,                      1,                0.39016,                0.36892,                0.30297,                 1.0532,                0.79769,              0.0012522,              0.0012522,              0.0012522
                     12,                0.26235,                 1.1146,                0.81034,                 0.3414,                0.97866,                0.39274,                0.36772,                0.35703,                 1.0722,                0.81525,              0.0012345,              0.0012345,              0.0012345
                     13,                0.26595,                 1.1051,                0.80992,                0.34039,                0.98262,                0.39747,                0.37738,                0.30549,                 1.0705,                0.80205,              0.0012168,              0.0012168,              0.0012168
                     14,                0.24599,                 1.0907,                0.80528,                0.33542,                0.99848,                0.41927,                0.40126,                0.27054,                 1.0399,                0.79263,              0.0011991,              0.0011991,              0.0011991
                     15,                0.23552,                 1.0837,                0.80419,                0.33397,                      1,                 0.3902,                0.36786,                0.30581,                 1.0413,                0.79348,              0.0011814,              0.0011814,              0.0011814
                     16,                0.24423,                 1.0866,                0.80777,                0.33406,                      1,                0.39321,                0.37362,                0.29048,                 1.0447,                 0.7948,              0.0011637,              0.0011637,              0.0011637
                     17,                 0.2274,                 1.0778,                0.80034,                0.34328,                      1,                 0.3868,                0.36442,                0.29951,                 1.0431,                0.79206,              0.0011461,              0.0011461,              0.0011461
                     18,                0.22605,                 1.0698,                0.79598,                0.33401,                      1,                0.40445,                0.38721,                0.27558,                 1.0398,                0.78783,              0.0011284,              0.0011284,              0.0011284
                     19,                0.23164,                 1.0714,                 0.7946,                0.34264,                      1,                0.39641,                0.37571,                0.30083,                 1.0363,                0.79544,              0.0011107,              0.0011107,              0.0011107
                     20,                0.22295,                 1.0667,                0.79481,                0.34743,                      1,                0.39406,                0.37893,                 0.2634,                  1.028,                0.78826,               0.001093,               0.001093,               0.001093
                     21,                0.22274,                 1.0645,                0.79972,                0.33907,                      1,                0.38036,                0.36119,                 0.2979,                 1.0343,                0.80066,              0.0010753,              0.0010753,              0.0010753
                     22,                0.21823,                 1.0623,                0.79961,                0.35474,                0.97701,                 0.3935,                 0.3752,                 0.2767,                 1.0508,                0.79659,              0.0010576,              0.0010576,              0.0010576
                     23,                0.21873,                  1.066,                0.79403,                0.36496,                0.99963,                 0.3949,                 0.3759,                 0.2889,                 1.0285,                0.79062,                0.00104,                0.00104,                0.00104
                     24,                0.22134,                 1.0592,                0.79613,                0.34517,                0.99736,                0.39155,                0.37008,                0.31355,                 1.0571,                0.81224,              0.0010223,              0.0010223,              0.0010223
                     25,                0.21418,                 1.0511,                0.79107,                0.36486,                0.99727,                0.40049,                0.37949,                0.26862,                 1.0455,                0.80956,              0.0010046,              0.0010046,              0.0010046
                     26,                0.20277,                 1.0532,                 0.7928,                 0.3626,                0.97421,                0.39617,                0.38382,                0.23192,                 1.0216,                0.78132,              0.0009869,              0.0009869,              0.0009869
                     27,                0.20051,                 1.0505,                0.79112,                0.36405,                0.96412,                0.39177,                 0.3785,                0.23807,                 1.0217,                 0.7862,             0.00096922,             0.00096922,             0.00096922
                     28,                0.19879,                 1.0477,                0.79137,                0.36407,                0.99848,                0.39089,                0.37655,                0.23596,                 1.0128,                0.78201,             0.00095154,             0.00095154,             0.00095154
                     29,                 0.2005,                 1.0433,                0.79162,                0.36491,                0.98326,                0.38741,                0.36941,                0.24734,                 1.0216,                0.78791,             0.00093385,             0.00093385,             0.00093385
                     30,                0.19087,                 1.0432,                0.78629,                0.36205,                0.96956,                0.40182,                0.38879,                0.23882,                 1.0187,                0.77939,             0.00091617,             0.00091617,             0.00091617
                     31,                0.19242,                 1.0439,                0.78817,                0.36629,                0.98502,                0.40164,                0.38695,                0.24266,                 1.0151,                0.78302,             0.00089848,             0.00089848,             0.00089848
                     32,                0.19494,                 1.0433,                0.78948,                0.36385,                0.97918,                0.41134,                0.39342,                0.25117,                 1.0239,                0.78657,              0.0008808,              0.0008808,              0.0008808
                     33,                0.19306,                 1.0404,                0.78712,                0.36447,                0.98702,                0.39981,                0.38637,                0.24253,                 1.0084,                0.78381,             0.00086312,             0.00086312,             0.00086312
                     34,                0.19122,                 1.0352,                0.78774,                0.36492,                0.98935,                0.41297,                0.40102,                0.22581,                  1.007,                0.77945,             0.00084543,             0.00084543,             0.00084543
                     35,                 0.1886,                 1.0371,                0.78669,                0.37004,                0.99391,                0.39978,                 0.3834,                0.24185,                 1.0161,                0.78118,             0.00082775,             0.00082775,             0.00082775
                     36,                0.18994,                 1.0369,                0.78425,                0.36784,                0.99848,                0.38759,                0.37411,                0.24827,                 1.0181,                0.78537,             0.00081006,             0.00081006,             0.00081006
