                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.1709,                 1.0319,                0.78629,                0.33319,                      1,                0.40601,                0.39685,                0.21835,                 1.0104,                0.78199,             0.00072164,             0.00072164,             0.00072164
                     37,                0.16814,                 1.0296,                0.78634,                0.33326,                      1,                0.40426,                0.39703,                0.20929,                 1.0091,                 0.7812,             0.00070143,             0.00070143,             0.00070143
                     38,                0.16404,                 1.0285,                0.78217,                0.33372,                      1,                0.40287,                0.39743,                0.19129,                 1.0063,                0.77927,             0.00068122,             0.00068122,             0.00068122
                     39,                0.16129,                 1.0262,                0.77963,                0.33325,                      1,                0.40962,                0.40447,                0.20938,                 1.0151,                 0.7846,             0.00066101,             0.00066101,             0.00066101
                     40,                0.16356,                 1.0271,                0.78309,                0.33328,                      1,                0.41253,                0.40555,                0.20279,                  1.012,                0.78429,              0.0006408,              0.0006408,              0.0006408
                     41,                0.16161,                 1.0233,                0.78415,                0.33354,                      1,                0.39091,                0.38438,                0.19713,                 1.0187,                 0.7806,             0.00062059,             0.00062059,             0.00062059
                     42,                0.16016,                  1.021,                0.78239,                0.33319,                      1,                0.38037,                0.37184,                0.19745,                 1.0127,                0.78383,             0.00060038,             0.00060038,             0.00060038
                     43,                0.16239,                 1.0218,                0.78027,                0.33323,                      1,                0.36766,                0.36169,                0.21505,                 1.0372,                0.78635,             0.00058017,             0.00058017,             0.00058017
                     44,                0.16667,                 1.0243,                0.78644,                 0.3357,                0.99765,                0.42588,                0.41735,                0.21151,                 1.0331,                0.78803,             0.00055996,             0.00055996,             0.00055996
                     45,                0.15486,                 1.0243,                0.77937,                0.33324,                      1,                  0.414,                0.40407,                0.20769,                 1.0245,                0.78971,             0.00053975,             0.00053975,             0.00053975
                     46,                  0.156,                 1.0102,                0.78006,                0.43927,                0.84614,                0.56236,                0.55596,                0.21086,                0.98899,                0.78795,             0.00051954,             0.00051954,             0.00051954
                     47,                0.16034,                 1.0129,                0.78523,                0.36607,                0.97817,                0.48601,                0.47483,                 0.2134,                 1.0243,                0.78569,             0.00049933,             0.00049933,             0.00049933
                     48,                0.16051,                0.97638,                0.77921,                0.51166,                0.83626,                0.58254,                0.53344,                0.39619,                 1.0914,                0.90194,             0.00047912,             0.00047912,             0.00047912
                     49,                0.16442,                0.89814,                0.78322,                 0.4916,                0.79022,                0.64054,                0.61533,                0.24918,                0.88701,                0.81112,             0.00045891,             0.00045891,             0.00045891
                     50,                  0.164,                0.79715,                0.78378,                0.56289,                0.90797,                0.69081,                0.66941,                0.25447,                0.74793,                0.80801,              0.0004387,              0.0004387,              0.0004387
                     51,                0.17048,                0.73322,                0.78729,                 0.6122,                0.92941,                0.70857,                0.69251,                0.23988,                0.75292,                0.80105,             0.00041849,             0.00041849,             0.00041849
                     52,                0.17235,                0.67331,                0.78378,                0.63301,                 0.9698,                0.69862,                0.68141,                0.25892,                0.69094,                0.80915,             0.00039828,             0.00039828,             0.00039828
                     53,                0.16612,                0.64398,                0.77862,                0.67327,                 0.9619,                0.72421,                0.71061,                0.22562,                0.68867,                0.80025,             0.00037807,             0.00037807,             0.00037807
                     54,                0.16692,                0.62643,                0.77885,                0.69337,                0.91279,                0.76929,                 0.7496,                0.25465,                0.69068,                 0.8274,             0.00035786,             0.00035786,             0.00035786
                     55,                0.16153,                0.61025,                0.77973,                  0.703,                0.84911,                0.80196,                 0.7879,                0.21857,                 0.7259,                0.81561,             0.00033765,             0.00033765,             0.00033765
                     56,                 0.1616,                 0.5948,                0.77581,                0.70521,                0.91208,                0.77637,                0.74827,                0.24795,                0.72235,                 0.8281,             0.00031744,             0.00031744,             0.00031744
                     57,                0.16095,                0.52108,                0.77649,                 0.8007,                0.86839,                0.83992,                 0.8158,                0.23999,                0.80108,                0.83359,             0.00029723,             0.00029723,             0.00029723
                     58,                 0.1676,                0.42222,                0.78234,                0.92725,                0.91484,                0.95958,                0.93171,                0.22913,                0.51688,                0.83059,             0.00027702,             0.00027702,             0.00027702
                     59,                0.16527,                0.33842,                0.77881,                0.96981,                0.96691,                0.99156,                0.97055,                0.21482,                0.33452,                0.81645,             0.00025681,             0.00025681,             0.00025681
                     60,                0.16137,                0.24256,                0.78085,                0.97895,                0.94907,                0.99341,                 0.9804,                0.20223,                0.29549,                 0.8002,              0.0002366,              0.0002366,              0.0002366
                     61,                0.15871,                 0.2112,                0.78263,                0.96208,                0.93584,                 0.9949,                0.97833,                0.20295,                0.27285,                0.80235,             0.00021639,             0.00021639,             0.00021639
                     62,                 0.1538,                0.18047,                 0.7784,                0.98395,                 0.9713,                0.99492,                0.97904,                0.20285,                 0.2405,                0.79564,             0.00019618,             0.00019618,             0.00019618
                     63,                0.14963,                0.17627,                0.77655,                0.97844,                0.98805,                0.99498,                0.98297,                0.19563,                0.22368,                0.79877,             0.00017597,             0.00017597,             0.00017597
                     64,                0.14961,                0.15692,                0.77911,                0.98238,                0.99307,                  0.995,                0.98265,                0.18846,                0.21954,                 0.7932,             0.00015576,             0.00015576,             0.00015576
                     65,                0.14567,                0.15314,                0.77446,                0.99872,                      1,                  0.995,                0.98249,                0.19963,                0.15423,                0.79543,             0.00013555,             0.00013555,             0.00013555
                     66,                0.14167,                0.13801,                0.77537,                0.99912,                      1,                  0.995,                0.98171,                 0.1938,                0.14325,                0.79453,             0.00011534,             0.00011534,             0.00011534
                     67,                0.13722,                0.13534,                0.77568,                0.99918,                      1,                  0.995,                 0.9823,                0.19378,                 0.1476,                0.79811,             9.5131e-05,             9.5131e-05,             9.5131e-05
                     68,                0.13641,                0.12403,                0.77647,                0.99948,                      1,                  0.995,                 0.9814,                0.19447,                0.14342,                0.79993,              7.492e-05,              7.492e-05,              7.492e-05
                     69,                0.13151,                0.12079,                0.77675,                0.99747,                      1,                  0.995,                0.98284,                0.19015,                0.14777,                0.79875,              5.471e-05,              5.471e-05,              5.471e-05
                     70,                0.12854,                0.11806,                0.77612,                0.99881,                      1,                  0.995,                0.98401,                0.18857,                 0.1458,                0.79502,               3.45e-05,               3.45e-05,               3.45e-05
