                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50308,                  4.124,                0.92321,                0.13207,                0.51613,                0.26394,                0.21579,                0.75674,                 34.873,                0.97491,             0.00044299,             0.00044299,             0.00044299
                      2,                0.48546,                 2.6462,                0.88897,                0.57012,                0.29608,                 0.1223,                 0.0689,                 1.1409,                 44.104,                   1.62,             0.00089136,             0.00089136,             0.00089136
                      3,                0.65732,                 2.2427,                 1.0036,                0.41303,                0.34524,                0.03274,                0.01105,                 1.7428,                 140.55,                 3.0291,              0.0013307,              0.0013307,              0.0013307
                      4,                0.68491,                 2.2705,                0.98037,                0.58378,                    0.5,                 0.3845,                0.29501,                 0.7886,                 2.9375,                  1.054,              0.0013866,              0.0013866,              0.0013866
                      5,                0.64249,                 1.6455,                0.98794,                0.23996,                0.25614,                0.15055,                0.09169,                 1.5295,                 2.6066,                 1.4066,              0.0013724,              0.0013724,              0.0013724
                      6,                0.58279,                 1.4966,                0.91698,                0.18422,                0.14641,                0.06954,                0.05205,                 3.1838,                 6.4291,                 4.5244,              0.0013583,              0.0013583,              0.0013583
                      7,                0.48169,                 1.3484,                0.87287,                0.26944,                 0.7053,                0.32598,                0.29227,                0.49371,                 1.7848,                0.85318,              0.0013441,              0.0013441,              0.0013441
                      8,                0.47307,                 1.3501,                  0.871,                 0.2523,                      1,                0.30274,                0.27244,                0.43623,                 2.5947,                0.82961,                0.00133,                0.00133,                0.00133
                      9,                0.42382,                 1.2767,                 0.8495,                0.33218,                      1,                0.39898,                0.37358,                0.37411,                 1.2793,                0.81545,              0.0013158,              0.0013158,              0.0013158
                     10,                0.38189,                 1.2229,                0.83481,                0.33302,                      1,                0.46841,                 0.4425,                0.35774,                 1.2073,                0.80443,              0.0013017,              0.0013017,              0.0013017
                     11,                0.37413,                 1.1827,                0.82237,                 0.3325,                      1,                0.46113,                0.42705,                0.41171,                 1.1875,                0.81876,              0.0012875,              0.0012875,              0.0012875
                     12,                0.38757,                 1.1512,                0.81954,                0.33229,                      1,                0.46318,                0.43622,                0.41116,                 1.1743,                0.80922,              0.0012734,              0.0012734,              0.0012734
                     13,                0.39042,                 1.1304,                0.82425,                0.33231,                      1,                0.42074,                0.39531,                0.33736,                 1.1709,                0.80854,              0.0012592,              0.0012592,              0.0012592
                     14,                0.40209,                 1.1331,                0.83949,                0.33457,                      1,                0.38712,                0.36679,                  0.363,                 1.1737,                0.81498,              0.0012451,              0.0012451,              0.0012451
                     15,                0.37258,                 1.1659,                0.82197,                0.33166,                      1,                0.43501,                0.41063,                 0.3886,                 1.1845,                0.81346,              0.0012309,              0.0012309,              0.0012309
                     16,                0.36944,                 1.1102,                 0.8232,                0.32669,                      1,                0.41883,                0.39413,                0.38702,                 1.1901,                0.81472,              0.0012168,              0.0012168,              0.0012168
                     17,                0.38543,                 1.0807,                0.82626,                0.33351,                      1,                0.40752,                0.37629,                0.42323,                 1.1613,                0.83295,              0.0012026,              0.0012026,              0.0012026
                     18,                0.35946,                 1.0748,                0.81606,                 0.3324,                      1,                0.41126,                 0.3886,                0.35926,                 1.1505,                0.80784,              0.0011885,              0.0011885,              0.0011885
                     19,                0.35663,                 1.0223,                0.81735,                0.33136,                      1,                0.46913,                0.44423,                0.35729,                 1.1461,                0.80859,              0.0011744,              0.0011744,              0.0011744
                     20,                0.35055,                 1.0348,                0.82814,                0.35211,                0.90987,                0.43825,                0.41895,                0.33002,                 1.1709,                0.80186,              0.0011602,              0.0011602,              0.0011602
                     21,                0.36702,                 1.0287,                0.82401,                0.34556,                 0.9881,                0.50587,                0.47852,                0.40939,                 1.2578,                0.81895,              0.0011461,              0.0011461,              0.0011461
                     22,                0.40108,                 1.0035,                0.82519,                0.33134,                0.89286,                0.46292,                0.43446,                0.36445,                 1.2536,                0.81276,              0.0011319,              0.0011319,              0.0011319
                     23,                0.39499,                0.95034,                0.83297,                0.35054,                0.91667,                0.44964,                0.41189,                0.45026,                 1.4276,                0.83653,              0.0011178,              0.0011178,              0.0011178
                     24,                0.39954,                 1.0089,                0.83456,                0.46875,                   0.75,                0.45624,                 0.4324,                 0.3559,                 1.6422,                0.81012,              0.0011036,              0.0011036,              0.0011036
                     25,                0.40329,                 1.4702,                0.84253,                0.27581,                0.75691,                0.28535,                0.24559,                0.60787,                 1.9008,                 0.9175,              0.0010895,              0.0010895,              0.0010895
                     26,                0.40103,                 1.0318,                0.83881,                0.33939,                0.95469,                0.48253,                0.44605,                0.42254,                 1.2113,                0.82411,              0.0010753,              0.0010753,              0.0010753
                     27,                0.32725,                0.96231,                0.81922,                0.39249,                0.89286,                0.50912,                0.47969,                0.36102,                 1.2524,                0.81543,              0.0010612,              0.0010612,              0.0010612
                     28,                0.33394,                0.88758,                0.80311,                0.33278,                0.97619,                0.42647,                0.39881,                0.36867,                 1.3743,                0.81682,               0.001047,               0.001047,               0.001047
                     29,                0.35465,                 0.9145,                0.81834,                0.33667,                0.78917,                0.53584,                0.50727,                0.38227,                 1.1515,                0.81357,              0.0010329,              0.0010329,              0.0010329
                     30,                0.36882,                0.99753,                0.81654,                0.36479,                0.72657,                0.51701,                0.48744,                 0.3872,                 1.7502,                0.81612,              0.0010187,              0.0010187,              0.0010187
                     31,                0.36876,                0.86866,                0.83764,                0.36453,                0.83333,                0.50931,                0.46217,                0.42728,                 1.6809,                0.82984,              0.0010046,              0.0010046,              0.0010046
                     32,                0.35612,                0.77001,                0.82532,                0.36053,                0.97619,                0.58507,                0.55526,                0.35589,                 1.0778,                0.81238,             0.00099044,             0.00099044,             0.00099044
                     33,                0.36778,                0.83479,                0.82744,                0.56172,                0.73551,                0.63346,                0.59361,                  0.371,                 1.6452,                0.81172,             0.00097629,             0.00097629,             0.00097629
                     34,                0.40248,                0.82163,                0.83838,                0.39748,                0.86866,                0.56141,                0.52539,                0.36499,                  1.183,                0.81575,             0.00096215,             0.00096215,             0.00096215
                     35,                0.35618,                0.73868,                0.82336,                 0.4849,                0.80805,                0.70602,                0.67071,                0.37515,                 1.0824,                0.80793,               0.000948,               0.000948,               0.000948
                     36,                0.33358,                0.67161,                0.81005,                0.57551,                0.73656,                0.74029,                0.68663,                0.40783,                0.89885,                0.81998,             0.00093385,             0.00093385,             0.00093385
                     37,                0.37981,                0.71689,                0.83462,                0.43589,                0.80486,                0.59714,                0.52534,                0.47035,                  1.311,                0.84618,              0.0009197,              0.0009197,              0.0009197
                     38,                0.37942,                0.66352,                0.82896,                0.53216,                0.97619,                0.72215,                0.66777,                0.39528,                0.97803,                0.82405,             0.00090556,             0.00090556,             0.00090556
                     39,                0.36883,                0.53512,                0.82376,                 0.5264,                0.91039,                0.71159,                 0.6621,                0.38409,                 0.9965,                0.81658,             0.00089141,             0.00089141,             0.00089141
                     40,                0.35032,                0.61012,                0.82255,                0.67612,                0.69804,                0.73428,                0.69025,                0.36575,                0.91928,                0.80316,             0.00087726,             0.00087726,             0.00087726
