                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39985,                 3.7072,                0.92933,                0.30622,                0.50265,                0.31597,                0.24587,                0.72845,                 2.4929,                 1.0343,             0.00047451,             0.00047451,             0.00047451
                      2,                 0.4262,                 2.3262,                0.92634,                0.30178,                0.90108,                0.36284,                0.27528,                0.65969,                 1.7976,                0.94345,             0.00093201,             0.00093201,             0.00093201
                      3,                0.42251,                 1.6444,                0.91365,                0.31181,                  0.617,                0.30291,                0.22224,                0.90198,                 1.8244,                 1.1022,              0.0013707,              0.0013707,              0.0013707
                      4,                0.42199,                 1.4304,                0.91011,                0.32577,                0.88069,                0.38872,                0.31604,                0.76658,                 1.3818,                 1.1124,              0.0013441,              0.0013441,              0.0013441
                      5,                0.38044,                 1.2879,                0.89467,                0.32306,                0.80115,                0.35178,                0.29357,                0.63396,                 1.3735,                0.97639,              0.0013158,              0.0013158,              0.0013158
                      6,                0.33133,                 1.2252,                0.85931,                0.33101,                0.91234,                0.36718,                0.30662,                0.56586,                 1.2442,                0.94173,              0.0012875,              0.0012875,              0.0012875
                      7,                0.30778,                 1.1855,                0.84866,                0.33373,                0.99391,                0.37284,                0.34161,                0.39947,                 1.1009,                 0.8391,              0.0012592,              0.0012592,              0.0012592
                      8,                0.29606,                 1.1625,                0.83817,                0.33574,                 0.9953,                0.37344,                0.35043,                0.34116,                 1.1023,                0.83142,              0.0012309,              0.0012309,              0.0012309
                      9,                0.29285,                 1.1341,                0.83812,                0.33321,                0.97602,                0.38563,                  0.362,                0.34007,                 1.0726,                0.81341,              0.0012026,              0.0012026,              0.0012026
                     10,                0.26862,                 1.1242,                0.82797,                0.33305,                0.98106,                0.38684,                0.35076,                 0.4585,                 1.0845,                0.88484,              0.0011744,              0.0011744,              0.0011744
                     11,                0.26578,                 1.1135,                 0.8289,                0.33618,                0.99722,                0.38484,                0.36556,                0.33478,                 1.0686,                0.81241,              0.0011461,              0.0011461,              0.0011461
                     12,                0.25424,                 1.1055,                0.81813,                0.34157,                0.97295,                 0.3962,                0.37881,                 0.3109,                 1.0729,                0.80752,              0.0011178,              0.0011178,              0.0011178
                     13,                0.25109,                 1.0868,                0.81633,                0.33618,                0.98102,                0.40115,                0.38122,                0.31808,                 1.0532,                  0.804,              0.0010895,              0.0010895,              0.0010895
                     14,                0.24932,                 1.0833,                0.81392,                0.33524,                0.99616,                0.38113,                0.35195,                0.38283,                 1.0813,                0.83404,              0.0010612,              0.0010612,              0.0010612
                     15,                0.24801,                 1.0804,                0.81557,                0.33234,                      1,                0.38595,                0.36124,                0.31113,                  1.042,                0.79932,              0.0010329,              0.0010329,              0.0010329
                     16,                 0.2463,                 1.0781,                 0.8143,                0.33352,                      1,                0.38978,                 0.3752,                 0.2838,                 1.0365,                0.78829,              0.0010046,              0.0010046,              0.0010046
                     17,                 0.2354,                 1.0702,                0.80996,                0.33323,                      1,                0.38201,                0.36234,                0.30063,                 1.0456,                0.79884,             0.00097629,             0.00097629,             0.00097629
                     18,                0.22707,                 1.0668,                 0.8046,                0.33651,                      1,                0.38486,                0.36989,                0.29661,                 1.0431,                0.79871,               0.000948,               0.000948,               0.000948
                     19,                0.22822,                 1.0658,                0.80621,                 0.3364,                      1,                0.39045,                0.37549,                0.26848,                  1.029,                0.78655,              0.0009197,              0.0009197,              0.0009197
                     20,                0.21312,                 1.0585,                0.80243,                0.33816,                0.99469,                0.40319,                0.39135,                0.26007,                 1.0307,                0.78564,             0.00089141,             0.00089141,             0.00089141
                     21,                0.21992,                 1.0603,                0.80444,                0.33423,                      1,                 0.3945,                0.38361,                0.25976,                 1.0209,                0.78254,             0.00086312,             0.00086312,             0.00086312
                     22,                0.21146,                 1.0555,                0.80254,                0.36066,                      1,                0.39198,                0.37921,                0.26753,                 1.0223,                0.78879,             0.00083482,             0.00083482,             0.00083482
                     23,                0.20612,                 1.0505,                0.79657,                0.33356,                      1,                0.38268,                0.36705,                0.28684,                 1.0266,                0.79804,             0.00080653,             0.00080653,             0.00080653
                     24,                0.21267,                 1.0511,                0.79822,                0.34613,                      1,                 0.3821,                0.37015,                 0.2586,                 1.0148,                 0.7817,             0.00077823,             0.00077823,             0.00077823
                     25,                0.20126,                 1.0408,                0.79611,                0.36776,                      1,                0.40455,                0.39239,                 0.2562,                 1.0127,                 0.7862,             0.00074994,             0.00074994,             0.00074994
                     26,                0.19632,                 1.0389,                0.79466,                0.36706,                      1,                0.39348,                   0.38,                0.27291,                 1.0124,                0.78885,             0.00072164,             0.00072164,             0.00072164
                     27,                  0.195,                  1.038,                0.79798,                0.36854,                      1,                0.40837,                0.39742,                0.23199,                 1.0059,                 0.7771,             0.00069335,             0.00069335,             0.00069335
                     28,                0.20001,                 1.0399,                0.80179,                0.36981,                0.99893,                0.40549,                0.39186,                 0.2618,                 1.0206,                0.78795,             0.00066506,             0.00066506,             0.00066506
                     29,                0.19069,                 1.0362,                  0.797,                0.36624,                0.99496,                0.40098,                0.38701,                0.25661,                 1.0221,                 0.7859,             0.00063676,             0.00063676,             0.00063676
                     30,                0.18614,                 1.0318,                0.78872,                0.36679,                      1,                0.40727,                0.39669,                0.23827,                 1.0041,                0.78035,             0.00060847,             0.00060847,             0.00060847
                     31,                0.18358,                 1.0299,                0.79054,                0.36396,                0.99087,                 0.4045,                0.38717,                0.27678,                 1.0169,                0.79938,             0.00058017,             0.00058017,             0.00058017
                     32,                0.18832,                 1.0292,                0.79549,                0.33627,                      1,                0.43649,                0.42364,                0.24403,                 1.0058,                0.77761,             0.00055188,             0.00055188,             0.00055188
                     33,                0.17953,                 1.0224,                  0.792,                0.36701,                      1,                0.43946,                0.42516,                0.24787,                 1.0013,                0.78733,             0.00052359,             0.00052359,             0.00052359
                     34,                0.17724,                 1.0218,                0.78646,                 0.3608,                0.99848,                0.41353,                0.40283,                0.23728,                 1.0006,                0.78062,             0.00049529,             0.00049529,             0.00049529
                     35,                0.17521,                 1.0234,                0.78823,                0.36804,                      1,                0.43981,                0.42584,                0.23848,                0.99986,                0.78029,               0.000467,               0.000467,               0.000467
                     36,                0.17868,                 1.0214,                0.78999,                0.35709,                0.99308,                0.46384,                 0.4487,                0.24029,                 1.0011,                0.78256,              0.0004387,              0.0004387,              0.0004387
                     37,                0.16961,                 1.0145,                0.78702,                0.34815,                0.99417,                0.44084,                0.42753,                0.24653,                 1.0096,                0.78522,             0.00041041,             0.00041041,             0.00041041
                     38,                 0.1746,                 1.0157,                0.78494,                0.36976,                      1,                0.42407,                 0.4112,                0.22516,                0.99671,                0.77631,             0.00038211,             0.00038211,             0.00038211
                     39,                0.16946,                 1.0129,                0.78526,                0.36172,                0.99874,                0.41345,                0.40349,                0.23091,                 1.0047,                0.77966,             0.00035382,             0.00035382,             0.00035382
                     40,                0.16866,                 1.0124,                0.79006,                0.33362,                0.99421,                0.40367,                0.39036,                0.25831,                 1.0144,                0.79492,             0.00032553,             0.00032553,             0.00032553
                     41,                0.16822,                 1.0125,                0.79083,                0.34952,                0.99696,                0.43835,                0.42551,                0.22826,                0.99721,                0.77873,             0.00029723,             0.00029723,             0.00029723
                     42,                0.16186,                 1.0059,                0.78313,                0.35672,                0.99848,                0.43468,                0.42436,                0.21226,                0.99732,                0.77173,             0.00026894,             0.00026894,             0.00026894
                     43,                 0.1606,                 1.0059,                0.78173,                0.36316,                0.99391,                 0.4413,                0.42967,                0.21288,                0.99935,                0.77285,             0.00024064,             0.00024064,             0.00024064
                     44,                0.16315,                 1.0035,                0.78778,                0.37127,                0.99874,                0.43301,                0.42344,                0.20828,                0.99329,                0.77335,             0.00021235,             0.00021235,             0.00021235
                     45,                   0.16,                 0.9999,                0.78072,                0.36956,                0.99395,                0.48029,                0.46914,                0.20335,                0.98315,                0.77111,             0.00018406,             0.00018406,             0.00018406
                     46,                0.15608,                0.99409,                0.78589,                0.38093,                  0.984,                0.48234,                0.47011,                0.21579,                0.98249,                0.77413,             0.00015576,             0.00015576,             0.00015576
