                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38243,                 3.3202,                0.88392,                 0.2796,                0.66996,                0.40032,                0.34166,                0.69833,                 2.9392,                 1.0505,             0.00047309,             0.00047309,             0.00047309
                      2,                0.42971,                 2.5453,                0.88185,                0.33236,                0.90846,                0.39613,                0.34487,                0.54231,                 2.1217,                0.94538,             0.00092593,             0.00092593,             0.00092593
                      3,                0.46481,                 2.0221,                0.89921,                0.33089,                 0.9006,                0.43255,                  0.369,                0.58403,                  1.923,                0.93385,              0.0013552,              0.0013552,              0.0013552
                      4,                0.41801,                  1.671,                0.87965,                0.33294,                      1,                0.39292,                0.36829,                0.39207,                 1.2653,                0.85286,              0.0013229,              0.0013229,              0.0013229
                      5,                0.38183,                 1.4498,                0.85238,                0.33301,                      1,                0.37474,                0.33598,                  0.457,                 1.2404,                0.91743,              0.0012875,              0.0012875,              0.0012875
                      6,                0.34694,                 1.3323,                0.84167,                 0.3334,                 0.9945,                0.39693,                0.37877,                0.32915,                 1.1456,                 0.8371,              0.0012522,              0.0012522,              0.0012522
                      7,                0.33562,                 1.2783,                0.83839,                0.33097,                      1,                0.37262,                0.35669,                0.29096,                 1.1302,                0.82636,              0.0012168,              0.0012168,              0.0012168
                      8,                0.29901,                 1.2237,                0.82174,                0.33298,                      1,                0.37523,                0.36909,                0.24562,                  1.091,                0.79612,              0.0011814,              0.0011814,              0.0011814
                      9,                0.28677,                 1.1874,                0.81447,                0.33338,                      1,                0.38875,                 0.3764,                0.29722,                  1.115,                0.81231,              0.0011461,              0.0011461,              0.0011461
                     10,                0.29176,                 1.1756,                0.81339,                0.33343,                0.99167,                0.38739,                0.37599,                0.27768,                 1.0769,                0.80941,              0.0011107,              0.0011107,              0.0011107
                     11,                0.27777,                 1.1654,                0.80828,                0.33283,                      1,                0.37629,                 0.3683,                0.23952,                 1.0834,                0.80306,              0.0010753,              0.0010753,              0.0010753
                     12,                  0.252,                  1.138,                0.80859,                0.33316,                      1,                 0.3627,                0.35532,                0.24947,                 1.0619,                 0.8006,                0.00104,                0.00104,                0.00104
                     13,                0.24976,                 1.1227,                 0.7989,                  0.333,                      1,                0.36847,                0.36109,                0.24397,                 1.0596,                0.80101,              0.0010046,              0.0010046,              0.0010046
                     14,                 0.2512,                 1.1142,                0.80696,                0.33336,                0.99879,                0.38643,                0.37634,                0.27135,                 1.0538,                0.81357,             0.00096922,             0.00096922,             0.00096922
                     15,                0.25048,                 1.1065,                0.80411,                0.33324,                      1,                0.38322,                0.37636,                0.23511,                 1.0513,                0.79968,             0.00093385,             0.00093385,             0.00093385
                     16,                0.23702,                 1.0983,                0.79578,                0.33338,                0.99522,                0.40443,                0.39419,                0.24284,                 1.0528,                0.79879,             0.00089848,             0.00089848,             0.00089848
