                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73457,                 3.8471,                 1.3485,                0.83086,                0.22222,                 0.2416,                0.17455,                0.97035,                 3.0775,                 1.6096,             0.00046877,             0.00046877,             0.00046877
                      2,                0.71999,                 3.5751,                 1.2961,                0.86008,                0.30392,                0.39384,                0.32344,                  1.164,                 4.2956,                 2.0988,             0.00089832,             0.00089832,             0.00089832
                      3,                0.78189,                 3.0696,                  1.302,                0.98551,                 0.0719,                0.24615,                0.16901,                 1.3285,                 32.531,                 2.6094,              0.0012807,              0.0012807,              0.0012807
                      4,                0.95054,                 2.9083,                 1.4499,                0.01881,                0.19085,                0.01769,                0.01094,                 2.0577,                 4.0012,                 3.0868,              0.0012168,              0.0012168,              0.0012168
                      5,                0.87004,                 2.6178,                 1.4032,                0.34929,                0.37942,                0.43042,                0.37468,                 1.2629,                 2.5539,                 1.8836,              0.0011461,              0.0011461,              0.0011461
                      6,                0.76688,                   2.18,                  1.271,                0.96181,                0.30065,                0.47703,                 0.4137,                 1.0438,                  2.693,                 1.8266,              0.0010753,              0.0010753,              0.0010753
                      7,                0.66864,                 2.0531,                 1.1892,                0.44953,                0.54412,                0.56033,                0.49179,                 1.0772,                 2.0093,                 1.9103,              0.0010046,              0.0010046,              0.0010046
                      8,                0.63393,                 1.7171,                 1.1647,                0.41139,                0.47756,                0.53991,                0.44371,                  1.168,                 1.8019,                 1.8262,             0.00093385,             0.00093385,             0.00093385
                      9,                0.56363,                 1.6116,                 1.0725,                0.40883,                0.58509,                0.48295,                0.44841,                 1.1309,                 1.8776,                 1.7749,             0.00086312,             0.00086312,             0.00086312
                     10,                0.51155,                 1.4228,                 1.0461,                0.49722,                 0.6171,                0.68529,                0.56254,                 1.0212,                 1.4605,                 1.7777,             0.00079238,             0.00079238,             0.00079238
                     11,                0.48304,                 1.2216,                 1.0083,                0.60581,                0.62288,                0.70126,                0.58391,                0.99082,                 1.4214,                 1.6738,             0.00072164,             0.00072164,             0.00072164
                     12,                0.49912,                 1.0307,                 1.0292,                0.66811,                0.79315,                0.77935,                0.60477,                0.99896,                 1.3252,                 1.6165,             0.00065091,             0.00065091,             0.00065091
                     13,                0.50714,                0.93929,                 1.0237,                 0.7107,                 0.7222,                0.78382,                0.63528,                 1.0838,                  1.239,                 1.7016,             0.00058017,             0.00058017,             0.00058017
                     14,                0.47465,                0.81981,                 1.0212,                0.89264,                0.86425,                0.87005,                0.62361,                 1.1229,                 1.1061,                 1.7351,             0.00050944,             0.00050944,             0.00050944
                     15,                0.42556,                0.71368,                0.96919,                 0.7946,                0.84803,                0.90001,                0.68479,                0.93983,                 1.0093,                 1.5717,              0.0004387,              0.0004387,              0.0004387
                     16,                0.44606,                 0.6997,                0.96832,                0.80981,                0.97121,                0.97396,                0.67912,                0.98651,                0.89816,                 1.6202,             0.00036797,             0.00036797,             0.00036797
                     17,                 0.4106,                0.64168,                 0.9654,                0.79691,                0.93155,                0.93731,                0.70605,                0.84548,                0.80431,                 1.4878,             0.00029723,             0.00029723,             0.00029723
                     18,                0.36333,                0.55956,                 0.9187,                0.84468,                0.89731,                0.96099,                0.70708,                0.86746,                0.83248,                 1.5327,              0.0002265,              0.0002265,              0.0002265
                     19,                0.32755,                 0.5414,                0.89358,                0.82232,                 0.8833,                0.96125,                0.70613,                0.82209,                0.87109,                 1.5155,             0.00015576,             0.00015576,             0.00015576
                     20,                0.29833,                0.50299,                0.89188,                0.86759,                0.89759,                0.96569,                0.70944,                0.82939,                0.77826,                 1.4804,             8.5026e-05,             8.5026e-05,             8.5026e-05
