                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36246,                  3.184,                 0.8752,                0.17604,                0.48062,                 0.3136,                0.29205,                 0.3783,                 2.5121,                0.82493,             0.00047395,             0.00047395,             0.00047395
                      2,                0.40102,                 2.2883,                0.87241,                0.32769,                0.68938,                0.36762,                0.29065,                 0.6684,                 2.3183,                0.96912,             0.00093685,             0.00093685,             0.00093685
                      3,                 0.4356,                 1.7932,                0.90234,                0.27325,                 0.4575,                0.40678,                0.29658,                 1.0285,                 1.9167,                 1.2736,              0.0013863,              0.0013863,              0.0013863
                      4,                0.42467,                 1.5332,                0.89303,                0.33586,                0.70497,                0.35421,                0.19838,                 1.4565,                 1.8607,                 1.5713,              0.0013684,              0.0013684,              0.0013684
                      5,                0.41288,                 1.3972,                0.87847,                0.31541,                0.93504,                0.45173,                0.37606,                0.64876,                 1.3771,                 1.0319,              0.0013482,              0.0013482,              0.0013482
                      6,                0.39278,                 1.3429,                0.86864,                0.33925,                0.95801,                0.42777,                0.38225,                0.50444,                 1.2217,                0.91958,              0.0013279,              0.0013279,              0.0013279
                      7,                0.36164,                 1.2411,                0.85471,                0.33436,                      1,                0.39701,                0.37394,                 0.3501,                 1.1079,                0.82802,              0.0013077,              0.0013077,              0.0013077
                      8,                0.31207,                 1.2064,                0.83273,                0.33157,                0.98296,                0.41234,                0.38403,                0.38155,                 1.1295,                0.85684,              0.0012875,              0.0012875,              0.0012875
                      9,                 0.2929,                  1.176,                0.81957,                0.33366,                0.99072,                0.39917,                0.38827,                0.26675,                 1.1016,                0.79961,              0.0012673,              0.0012673,              0.0012673
                     10,                0.26737,                 1.1497,                0.81748,                0.33599,                0.97566,                0.42426,                0.40041,                0.29135,                 1.0644,                0.80429,              0.0012471,              0.0012471,              0.0012471
