                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43128,                 3.7395,                0.89251,                0.33365,                0.90216,                0.38534,                0.33012,                0.55838,                  2.275,                0.95408,             0.00046962,             0.00046962,             0.00046962
                      2,                0.52414,                 3.0404,                0.91922,                0.30335,                 0.7643,                0.37972,                0.31429,                0.58281,                 4.6431,                0.96087,             0.00093659,             0.00093659,             0.00093659
                      3,                0.55774,                 2.6899,                0.92114,                0.07644,                0.24038,                0.02625,                0.01885,                 1.3116,                 10.197,                 1.4899,              0.0013941,              0.0013941,              0.0013941
                      4,                0.47666,                 2.2334,                0.89152,                0.36032,                0.90985,                0.39202,                0.35085,                 0.4493,                 2.1278,                0.89332,              0.0013866,              0.0013866,              0.0013866
                      5,                0.49326,                 1.9127,                0.89251,                0.33903,                0.66897,                 0.3659,                0.27014,                 1.0183,                 2.0508,                 1.3077,              0.0013724,              0.0013724,              0.0013724
                      6,                0.45001,                 1.6872,                0.86603,                0.31135,                0.92923,                0.40521,                0.33497,                 0.6305,                 1.5846,                0.97736,              0.0013583,              0.0013583,              0.0013583
                      7,                0.44107,                 1.5231,                0.85432,                0.33486,                0.99319,                0.40246,                0.36223,                0.46316,                 1.3371,                0.87924,              0.0013441,              0.0013441,              0.0013441
                      8,                0.40566,                 1.3983,                 0.8402,                0.32583,                0.99111,                0.41082,                0.36988,                0.45559,                 1.3236,                0.89632,                0.00133,                0.00133,                0.00133
                      9,                0.41048,                 1.3334,                0.84501,                0.33212,                0.99556,                0.42118,                0.39803,                0.32883,                 1.2136,                0.83047,              0.0013158,              0.0013158,              0.0013158
                     10,                 0.3382,                 1.2575,                0.82217,                0.32852,                      1,                0.50918,                0.48084,                0.33299,                 1.2155,                0.83587,              0.0013017,              0.0013017,              0.0013017
                     11,                0.31558,                 1.2107,                0.80287,                0.33293,                      1,                 0.4269,                 0.4079,                0.30108,                 1.2222,                0.82268,              0.0012875,              0.0012875,              0.0012875
                     12,                0.28981,                 1.1687,                 0.8019,                0.33268,                      1,                0.44019,                0.42303,                 0.2659,                 1.1749,                0.81769,              0.0012734,              0.0012734,              0.0012734
                     13,                0.27694,                 1.1419,                 0.7931,                0.33221,                0.99556,                0.40948,                0.39589,                 0.2722,                 1.1539,                0.80974,              0.0012592,              0.0012592,              0.0012592
                     14,                0.29231,                 1.1359,                0.79941,                0.28157,                0.98222,                0.49797,                0.47387,                0.33884,                 1.2145,                0.83733,              0.0012451,              0.0012451,              0.0012451
                     15,                0.28763,                 1.1157,                0.80446,                0.32508,                      1,                0.44164,                0.42308,                 0.2848,                 1.1771,                0.81846,              0.0012309,              0.0012309,              0.0012309
                     16,                 0.2729,                 1.0988,                0.80961,                0.32993,                      1,                0.41838,                0.40473,                 0.2533,                 1.1428,                0.80693,              0.0012168,              0.0012168,              0.0012168
                     17,                0.25643,                 1.0884,                0.79834,                0.32941,                      1,                0.39727,                0.38334,                0.26978,                 1.1258,                0.81182,              0.0012026,              0.0012026,              0.0012026
